,2018,2019,2020
종로구,191,184,147
중구,164,151,161
용산구,170,144,95
성동구,158,162,158
동대문구,327,315,289
성북구,228,262,214
도봉구,190,189,160
은평구,244,246,195
서대문구,203,211,137
마포구,191,192,148
강서구,210,276,232
구로구,242,230,201
영등포구,350,341,296
동작구,225,203,199
관악구,182,194,209
강남구,351,352,359
강동구,242,286,196
송파구,373,395,336
서초구,290,284,247
양천구,209,237,198
중랑구,254,276,242
노원구,245,297,244
광진구,133,128,102
강북구,246,217,161
금천구,143,140,130
