,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
년도별,212,104,176,143,16,9,9,3,20,12,34,73,64,88,103,266,52,49,43,23,33,32,20,27,42,74,14
총합계,212,316,492,635,651,660,669,672,692,704,738,811,875,963,1066,1332,1384,1433,1476,1499,1532,1564,1584,1611,1653,1727,1741
