,구,지점,발생건수,사상자수,경도,위도
0,동대문구,동대문구 회기동(회기역앞_회기로_진출_1 부근),4,5,127.054378,37.58994844
1,동대문구,동대문구 휘경동(회기역앞 부근),4,4,127.0559657,37.59047037
2,동대문구,동대문구 회기동(회기역앞_이문로_진입_1 부근),3,3,127.0550314,37.58934843
3,동대문구,동대문구 회기동(IBK기업은행회기역지점 부근),4,5,127.0559112,37.58996466
4,합계,합계,15,17,127.0553216,37.58993298
