시군구,2007,2008,2009,2010,2011
합계,2642,3100,3609,3528,3733
종로구,108,101,122,139,148
중구,82,95,140,124,134
용산구,88,84,115,114,87
성동구,76,89,102,98,112
동대문구,150,164,205,211,204
성북구,116,186,177,175,184
도봉구,74,104,117,119,111
은평구,106,164,197,166,194
서대문구,93,106,138,121,136
마포구,91,125,132,138,141
강서구,119,130,155,173,172
구로구,92,118,144,127,147
영등포구,141,164,182,179,210
동작구,76,69,125,99,114
관악구,118,143,152,158,169
강남구,112,126,165,157,192
강동구,110,110,140,118,152
송파구,167,189,181,172,188
서초구,98,122,121,148,165
양천구,78,109,125,112,124
중랑구,173,152,161,193,163
노원구,118,139,159,155,158
광진구,102,112,117,117,109
강북구,105,120,136,128,121
금천구,49,79,101,87,98
