,0
17,기기 자체 설정을 진동으로 해놨는데 당근마켓 전화는 벨소리라 조용한 사무실에서 쩌렁쩌렁한 벨소리가 울려 두번이나 당황했네요 기기설정을 먼저 참조해서 처리해야 하는게 옳지않아 싶습니다  개발부서에서 빠르게 처리해주셨으면 좋겠어요  그래야 안심하고 당근마켓을 이용할거 아닙니까   
18,이웃들이 전문판매업자로 등록되어 당근 떠나가는 바람에 원하는 물건도 제대로 구매하기가 어려워 졌습니다  저 역시 개인간의 거래 제약을 두는 곳을 떠나려 합니다   말로만 개선 의견 검토중 
19,당근마켓의 디테일 넘치는 운영시스템에 찬사를 보내고 싶네요  파는 사람이나 사는 사람 모두 신뢰를 바탕으로 거래를 하지 않으면 당근마켓에서 활동 자체가 어렵겠구나 하는 느낌을 스스로 받게 하는 혁신적인 시스템입니다  오늘 첫거래 마쳤는데  모든 것에 다 대만족입니다 
20,당근마켓 채팅이 알림에는 뜨는데 알림 클릭 후 대화방 들어가면 해당 대화글이 보이지 않아요  안드로이드 갤럭시 노트      안드로이드  버전입니다  백그라운드 데이터허용  데이터절약시 데이터 허용 되어있습니다  조치부탁드립니다 
21,당근마켓의 가장 큰 문제점에 대해서 말씀드리려고 합니다  네이버에 당근의 문제점으로 검색해보아도 많은 이용자들이 불편함을 겪고  심지어 이용을 안하게 되는 경우가 늘어나고 있음에도 개선사항이 없기에 후기에 작성하겠습니다  본인은 의류를 좋아하는 사람으로써 타어플에서도 사고팔고 수천건도 넘게했던 사람입니다  당근을 초창기 이용할때 게시하면 조회수가 많아서 금방 판매가 되고  다시 당근을 이용해서 중고의류를 구매하곤 하였습니다  허나  기간이 지날수록 조회수가 아예 나오질 않자  확인해본 결과  로 전문판매업자라는 판단이 되어서 점점 전체 리뷰
22,이런저런점 다좋은거같습니다 근데 한가지원하는게 있습니다 키워드알림해서 자기가 원하는 키워드로 물건이올라오면 알람을뜰수잇어좋은데 반대로 자기갸 원치않거나 싫어하는 이름이 키워드랑합쳐져서 오르는게싫습니다 고로 알람이안오거나 글자체를 볼수없게 키워드를 만들어주시며누더욱 편리할거같습니다 예를 들어 나는 포켓몬피규어 디즈니피규어를 사고싶어 피규어도 키워드알림을 해놧는데 디지몬피규어가 올라오면 피규어 때문에 알람이울립니다 이런문제를 해결하기위해 피규어 란 단어를 키워드등록할수잇지만 디지몬 방해설정을통해 디지몬이들어간 게시물이 올라오면 알람이  전체 리뷰
23,안녕하세요  당근마켓을 열열히 사용하고있는 유저입니다  많은 물건들을 살수도 있고  팔수도 있는  당근마켓 정말 좋습니다  설명도 잘 나와있고  사람들과도 만나서 직거래를 할수있으니 재미있요  그리고 직거래가 싫으신 분들은 택배 배송을 부탁하시면 됩니다  당근마켓 꼭 설치해서 이용해보세요 
24,당근마켓의 성장을 바랍니다  한가지 건의사항있습니다  채팅창에서  기존대로  시에 뵙겠습니다 라고 전송하니 갑자기 주소를 공유했다고 앱알림이 뜨네요   기존대로 를 주소로 인식한거 같네요  수정하면 더 좋을것 같습니다 
25,구매 이 외에도 기능이 있어 편리해요  아쉬운 점은 동네 주변 정보만 나온다는 것이예요  내가 찾는 정보가 다른 멀리있는 동네에 있다면 살 수도 그 정보를 볼 수도 없다는 게 아쉬위요  고쳐주었으면 함  더 넓게 시를 넘어서도 볼수있으면 좋겠어요      동 구 시 이런 정도로 아니면  나 지도로 자기가 보고싶은 곳을 설정할 수 있게 하면 좋겠습니다 
26,멀쩡한 상품이였는데 직거래후 상품확인까지 다확인시켜드렸는데 집가자마자 하자있다고 전액환불해달라해서 못해준다했더니 당근에 신고하셔서 저만 당근에서 거래못하게 막고   판매전 사진에도 멀쩡했었고 그렇게 눈에 띄는 하자를 직거래까지했는데 못발견하고 갑자기 집가니 하자발견 ㅋㅋ 그사람이 더 의심스러운데 그사람은 당근거래할수있도록하고 무슨기준인건가요 
27,이건 중고로 거래하라고 만든 게 아니고 물건 올리면 서로 사겠다고 난리치는 거 구경하는 앱이네요  게다가 홈 화면에서는 거래완료된 물건도 노출되고  숨겨진 게시글  심지어 삭제된 게시글까지 싹 다 노출되는 최대의 결함이 있는데 고치지도 않고  서비스 때문에 접어야겠습니다  게다가 거래완료 안보기를 눌러도 거래완료는 왜 보이는 거죠  발로 개발하시는 건가요  그리고 서버 관리 좀 하세요  느려 터져서 못 쓰겠음  에니악으로 돌린다면 이해는 하겠지만 
28,근처에 있는 사람들과 거래하기 좋긴 한데 위치가 애매한 곳에서 동네 인증하면 동네 분류가 지금 사는 곳과 먼곳으로 될 경우가 있어서 일부러 근처동네까지 나가서 인증하기도 하는데 어느정도 주변 위치도 설정할수 있으면 좋겠습니다  근처 동네 말고도 내가 접근가능한 위치도 검색이 가능했으면 좋겠습니다 
29,업데이트 이후로 동네생활 글 보는 게 불편해졌어요  키워드 검색하면 뜨는 글들을 최신순으로 보고 싶은데 뒤죽박죽으로 뜨는 게 너무 불편하네요  왜 이렇게 업데이트 한 건가요 
30,너무 잘 만든 어플이라고 생각해요  되게 좋은 것 같아요  안 쓰는 물건들을 마냥 버리기만 했었는데  저한텐 필요 없는 물건이 다른 곳에 가서 유용하게 쓰일 수 있는 부분이 좋아요 ㅎㅎ
31,당근마켓 너무 잘 쓰고있습니다  건의사항이 하나 있는데  동네인증 한군데랑 하나 더 설정할때 먼저 설정해놓고  일이내 인증을 하거나 하나는 그냥 보너스로 설정 할수있게 해주시면 안될까요  이사가는 동네 중고거래를 하려고하는데 인증을 안해서 하나도 못쓰고 있네요  핸드폰번호 미리 인증하고 하는 거래인 만큼 어느정도 신뢰가 있다고 생각됩니다 이부분 꼭 부탁드려요    물건 검색할때 예약중 상품 안보기 기능도 하나 넣어주세요 
32,당근 개발자님들 너무 감사해용 프로당근러로서 참 애용하고 이쏘용  집안정리 및 인테리어에 많은 도우므이 됩니다 근데 요새 버그인지  자주 이용하는 문구가 싹다 지워지고 등록이 안되서 넘무 불편해요     어서 수정부탁드리브니다 
33,당근마켓 애용자인데요  딱한가지 아쉬운점이 있다면 전국에서 다 사고팔고 할수 있음좋겠네요  물건이 저렴하고 마음에 들어서 구매하고 싶은데도 같은지역이 아니면 구매할수조차 없다는점이 젤 아쉽네요 바램이 있다면 지역 검색한이후에 전국에서 다 구매할수 있음 좋겠습니다
34, 년가까이 사용중인 유저입니다  한번도 비매너 평가 받은적이 없는데  갑자기  년이용제한이랍니다 황당해서  이유라도 알고싶네요  해제부탁드립니다
35,그때 그때마다 필요한 제품을 잘 구매하고 다 읽은 책들이나 나이에 안맞는 장난감 같은 애물단지 취급받는 것들을 버리지 않고 필요한 사람에게 저렴히 양도하여 서로가 유익한 아주 쏠쏠하고 요긴한 어플입니다  이를테면 한 때 잘 사용하고 이사하면서 아까워서 버리지도 못하고 짐이 되어 베란다 한켠에서 큰 자리를 차지하던 애물단지가 된 벽걸이 에어컨과 무거운 실외기를 별 기대없이 당근마켓에 올렸는데 불과 반나절만에 무려 스물 두분께서 관심과 구매의사를 보여주셔서 저로서는 생각지도 않았던 용돈을 두둑히 벌고 구매자님은 무더운 여름을 잘 보내 전체 리뷰
36,당근마켓 진짜 최고입니당  다른 중고거래 사이트 보다 훨씬 좋아요  만약 중고거래 사이트를 찾고계시는분 이 있다면 당근마켓을 추천해 드리고 싶네용  그럼 당근마켓 오늘도 화이팅 하세요   
37,지역인증하는건 좋은데 주로 사용하는 곳이 직장이다보니 채팅이나 찜하기가 안되요  퇴근해서 집에 가면 시간도 별로 없어요  인증을 두군데에서 할 수 있도록 하면 좋을텐데 
38,당근마켓 너무잘쓰고있어요  안쓰는물건 필요한사람에게 저렴하게 팔수도 있고 제가살수도 있는 좋은앱이에요  그런데 가격제안이 오면 다시 상대방에게 카운터 제안을 할수있는 기능이 있으면 어떨가싶어요  너무 저렴하게 제안이 오면 적당한가격을 다시 제시하고싶은데 채팅을하거나 제안을할수가 없어서요  아니면 라이크를 누른 사람들에게만 제가 더 저렴하게 가격제안을 할 수도있으면 좋을거같아요 
39,한달기준 전체 작성글 횟수 판매내역 구매내역 끌올횟수 나눔횟수  받은횟수 사용자가 보고 판단할수 있게 해주었슴 좋켔습니다  글을 삭제하고 다시 쓰는 사용자도 있으니  주일 작성글 개 바로바로 확인 할수 있게끔 안내를 해주었슴 해요 나눔횟수  받은 횟수도 사용자들이 보고 서로 판단할수 있게 해줬승 좋켔습니다 수고하셔요
40,안녕하세요  당근을 많이 사용하는 사람입니다 가급적으로 고치고 싶은것이 있습니다 지금 채팅을 하고싶은데 증평읍 동네인증을 해야해서 너무 힘듭니다 학생인데 증평까지는 너무 멀어서 못가겠습니다 그래서 그냥 동네 인증이 아닌 그 지역을 인증으로 해주시면 좋겠습니다 부탁드립니다
41,중고거래 앱중에 제일 사용하기 편한 어플  가장 큰장점은 주변동네로 거래를 안내하니까 내가 구매할수 있는 여력 선에서 중고품목을 보기 쉬움 구매자입장에서 거래수수료를 안떼서 좋음 나눔 기능도 좋음  무료로 나눔해서 받을수 있고 나눔자 입장에선 필요없는 물건을 의미있게 버릴수 있어서 좋은것 같다 단점이 있다면 동네 주변이 아닌 지역에서라도 내가 원하는 중고 품목이 있는지는 알수가 없어서 조금 아쉽다 지금 사용 기능처럼으로 타지역도 구별해서 나눔  구매 서비스를 제공해주면 더 좋을듯하다
42,당근마켓을 사용한지  개월이지났는데요  진짜 이거는 와 진짜 필요하는 앱이다라고 생각이 들도록 정말 좋은 앱입니다  자신이 필요한 물건을 거래를해서 살수도 있고 자신한테는 물건을 사서 좋고 물건을판 상대방은 돈을 얻어서 좋고 완전  강추인 그런 앱이네요  강추드립니다 
43,아이러너 런닝머신  렌탈 양도는 불법이라고 본사에서 고소하라는데 당근마켓에서는 현행되고있고  권고를 하지만  시간이 흘렀는데도 대응조차없네요  그리고  만원가량 주고산 런닝머신 구매했는데 고장난 제품 이었고   를 받는데 최초구매자 명 주소 전번이 없으면  도 안된다네요  사자마자 버리세요라네요  판매자 살아지고  당근에 여러번 의견제출 했지만  대응조차 않네요  쓰레기를  만원가량 주고 구매해서 어렵게 운반하여 집앞에 돈들여 딱지 붙여서 버려야하는실정에 아무도 도움이 안되고  바쁜 와중에 경찰서에 신고하면 도와주겠다는 문 전체 리뷰
44,판매물품에 대한 글을 작성하고 나서 페이지를 보면 임의로 몇 글자에 링크가 생성되는 경우가 있습니다  링크를 누르면    가 열리면서 제 현재 위치를 보여주더군요  이 문제의 원인을 알려주시고 해결방법을 알려주세요
45,작년에 농가주택을 짓고 입주한 초보농부입니다  이사하느라 필요한 물건들도  새로 필요한 물건들도 남편이 당근마켓을 활용해 수십건을 처리해주었습니다  건축업자가 버리고간 헌작업화와 우산까지도 모두 당근마켓을 통해 매매되는것을 보고 당근마켓이 가진 영향력에 놀랐습니다  소농이라 대량납품 위주의 농협에 농작물을 납품하기가 어려워 판매에 어려움을 많이 겪었습니다  그나마 소량납품이 가능했던 양주로컬푸드마저 문을 닫아 지금은 당근마켓만이 유일한 판매처가 되고 있습니다  내 주변의 소비자들을 손쉽게 연결해주는 당근마켓의 운영진께 깊이 감사드립 전체 리뷰
46, 동네인증할 수 없는 환경   어떻게 하죠 잔깐동안 동네화면 보이다가 계속 안됩니다  일일 문자인증도 초과에요  휴대폰은 아니고 태블릿에 까는 거라 안되나요 
47,독보적인  참신한 판매 플랫폼  여유를 가지고 기다리면 확실히 돌아오는 고객 문의 응답  다만   아쉬운  고쳐나갈 점이 다소 있는  성장형  어플 감사하게도 문의사항에 대해 응답을 듣고  여기에 남긴 리뷰도 대답을 들었습니다 다만 아쉬운 점이 땜빵 처리라는 느낌입니다 한차례 건의 드린 내용 비매너 구매자를 비매너 평가 하려고 하였으나 그 사람이 너무 멀리 산다고 비매너평가가 불가능 하였습니다  그런 논리라면 그 사람이 제가 너무 멀리 산다고 제 글을 보고 채팅을 보낸다던가 하는게 불가능 했어야죠 너무 멀리 사는 사람이라 하더라도 전체 리뷰
48,안녕하세요  당근마켓 너무 잘 이용 하다가 로그아웃 했다가 여러번 번호 인증받고 로그인 하게 됐는데요 다시 로그인 하려고 인증번호 받아서 로그인 누르니 비정상적인 인증시도가 돼서 인증할 수 없다는 메세지가 뜨는데 어떻게 해야 하나요   
49,판매 목록 카테고리 정리폴더를 만들어주셨으면 좋겠습니다  제가 판매하는 물건이 분류 카테고리도 다양하고 이사 준비하면서 올리는 물건이 늘어나서 판매 목록이 엄청 복잡해졌습니다  물건 보시는 분들이 한번에 관련상품 보실 수 있게 카테고리 분류 폴더를 만들어주세요 
50,잘 쓰다가 중복 게시물 되니 엄청 짜증나네요  정확한 이유도 모르고 중고폰 올렸다가 숨김처리 된것 같은데 정작 본인은 모르고 있으니 바보된 느낌입니다  와이프도 물건  개 팔려고 올렸는데 반나절만에 숨김처리 되네요  나름 소소하게 팔면서 온도도 높았는데 이유도 없이 업자 취급하니 정이 뚝 떨어지네요  판매 이력만 한번 봐도 알겠구만 그냥 막처리하고 이의제기 하는 기능도 없고 안타깝네요  한편으로 이해는 가면서도 이유도 없이 또 몰래 당하니 몹시 억울하군요 ㅎㅎ
51,폰초기화를 하고 새로 설치를 했더니 거의 본인인증무한루프다  본인인증만 오늘  번 모두 받았다 처음 인증받아 입력후 들어가니 원래 사용하던 계정이 프로필보여 확인 눌렀다 계정주인확인 누르면 바로 창이 닫히면서 다시 본인인증 또 창이 닫겨 또 본인인증 계속 반복하고있다   회째 인증받고 오늘 본인인증  회 남았다길래 플레이스토어 들어와 어플신고를 했다  그랬다가 다시 폰화면에서 누르니 이제 두가지 정도 질문확인하고 어플동작되더라 오전에 구매자와 채팅했는데 채팅창나가기가 안된다 이상해서 어플데이터와 캐시 삭제했더니 또 본인인증받으라더 전체 리뷰
52,매너온도에 대해 문의를 드렸는데도 불구하고 개선되는 점이 하나도 없네요  매너 온도가 올라가지 않아 문의를 드렸는데도 똑같은 답변과 내용을 찾아 읽으라는 말밖에 없네요 하하 게다가 최근에 비매너 수가 늘지도 않고 제가 가진 비매너 수가 두개밖에 없었는데 왜 문의를 드렸는데 매너온도가 더 떨어지나요  이유를 알고 싶고 또 문의를 드려도 똑같은 답변만 오고 해결되는게 없어서 너무너무 답답해요
53,코로나 땜에 힘든 가정경제에 당근이 찐힘이된다고 느낀다 꼭 필요한 생필품을깨끗하게 저렴하게 만나서 행복하다   아쉬움이 있다면 동네인증거래만 된다는 점이다  
54,농산물중복게시글 올렸다고 경고도 없이 그냥  일간 이용중지  중고나라와는 다를줄 알았는데 실망이네요  동네홍보게시판 존재하는지도 모르는 사람이 대부분일텐데요  거기 올리면 조회수가 거의 없어요  거기에만 올리라는건 팔지말라는 거랑 같음  저도 이용중지먹은후에야 알았고 들어가는법도 매번 생각해야 함   일정지종료후 아무 문제없었던 고사리 판매글을 끌올했더니 농산물판매글이라면서  일정지를 또 때렸네요 일정지는 중복게시라서 받은줄 알아서 중복아니면 괜찮은줄  참 쉽게 쉽게 정지 날리네요  당근마켓도 공정위나 구글에서 일방적으로  일 전체 리뷰
55,당근마켓 나오고 초반에 사용한 사용자입니다  너무 좋습니다  동네다보니 직거래가 가능하니 좋고요  앞으로도 잘사용하겠습니다  감사합니다 
56,이때까지 잘 사용하고 좋았는데 나이 제한 없이도 거래가 가능하는 것이 좀 그러네요  어린 친구들이 와서 예의 없게 하고 사기도 당했습니다  만  세 이상 사용하면 좋겠습니다 
57,검색내역이 제한되어 불편하네요  업데이트 전에는 관심있는 검색 내역이 전부떠서 편하게 찾아볼 수 있었는데 왜 검색 내역이 제한되었는지요  궁금합니다 
58,말 그대로 별 하나 주기도 아까움  다른 사람이랑 채팅하다가 못살것 같다고 죄송하다고 했는데 그 사람이 비매너평가 해버려서 이용정지됨  이 앱 절대 깔지 마시길 절대 사기꾼 겁나 많고 평생 후회하게됨 
59,아예 다른 사람에게는 미노출되는 현상이 있습니다  알림으로 아무것도 공지받지 못했습니다   번 삭제 재등록을 했으나  번 모두 같은 증상입니다  다른 사람의 계정으로 확인하면 제 물건은 꼭 빠져있더군요  사진을 바꾸거나 내용을 바꿔도 동일합니다 
60,진짜 너무 좋아요  사기가 많지 않을까 생각해보다가 깔았는데 정말 편리하더라구용  덕분에 필요한 물건 딱  번 거래해봤어용  감쟈합니댱 
61,안녕하세요  당근을 아주 잘 이용하고 있는 사용자입니다  한가지 문의드릴게 있는데 채팅내용 중 주소  핸드폰번호같은 개인정보를 삭제할 수 있는 기능은 없을까요  가끔 거래를 하다가 주소  핸드폰번호를 전달 한 후에 그대로 연락두절이 되는 경우가 종종 있는데 채팅창에는 개인정보가 계속 남아있으니 찜찜하네요 
62,다 좋은데 거리가 좁아요 솔직히 지산동에서 평택까지 갈수있단말이에요 근데 평택시는 못가는데 화성시 청북읍은 돼요 솔까 평택보다 청북읍이 더 멀거든요 이게왜 평택시는 못가죠  범위를 조금만 더 넒여주실수없을까요  다른사람들도 같은마음일거에요 조금  동내  동내도 괜찮으니깐 범위름 조금만더 넒여주세요 당근마켓이 가까운 주민들과 거래할수있게한건아는데 그래도 조금만 조금만 넒여주세요 부탁드릴게요
63,정말 잘 사용하고있습니다  목표한 가격을 노리고 존버하면 성공하네요 ㅎㅎ 건의사항이 있습니다  키워드알림을 등록해두면 그 단어가 포함된 모든물건이 알림이 오더라구요  그래서 알림 제외 키워드도 있으면 좋겠습니다  예를들면 벤치프레스를 원해서  벤치 를 키워드로 등록했다면   빈치스  를 또 등록해서 빈치스벤치 손가방은 알림이 오지 않도록 하는거죠  이런거는 따로 이메일로 드려야하나요 
64,진짜  당근 마켓을 왜 이제 깔았나 싶을 정도로 너무 편리하고 볼 것도 많네요  사흘 전 처음으로 직거래를 했었는데 채팅에 좋은 기능들이 많아서 놀랐어요  이제는  일  당근 해요ㅎㅎ 정말 별점  점도 모자른 앱이에요 
