,년도,합계
1,2007,2642
2,2008,3100
3,2009,3609
4,2010,3528
5,2011,3733
6,2012,4197
7,2013,4492
8,2014,5009
9,2015,5388
10,2016,5219
11,2017,5357
12,2018,5761
13,2019,5912
14,2020,5056
