,이름,주소,x,y
79,장답경로당,동대문구 답십리동 952-5번지 ,205192.0168,451395.7933
80,광우경로당,동대문구 답십리동 483-4번지 ,204519.7119,451925.5093
81,광우경로당,동대문구 청량리동 37-4번지 ,204304.4045,453729.6324
82,현대아파트경로당,동대문구 장안동 95-1번지 ,,
83,장안1동경로당,동대문구 장안동 379번지 ,205881.7212,451745.6657
84,현대@경로당,동대문구 청량리동 234-2번지 ,204024.365,453631.2472
85,전농2동경로당,동대문구 전농동 127-17번지 ,204489.7576,453402.9264
86,답십리5동분회경로당,동대문구 답십리동 173-1번지 ,,
87,장안2동분회경로당,동대문구 장안동 329-3번지 ,206590.0462,452410.6195
88,휘경2동경로당,동대문구 휘경동 30-3번지 ,205662.7115,454215.0204
89,장안2동할머니경로당,동대문구 장안동 329-3번지 ,206590.0462,452410.6195
90,신설동분회경로당,동대문구 용두동 251-71번지 ,202529.5406,452049.4277
91,만수경로당,동대문구 제기동 220번지 ,202950.0606,453523.9967
92,답십리3동분회경로당,동대문구 답십리동 557-1번지 ,,
93,전농1동분회경로당,동대문구 전농동 350-12번지 ,,
94,답십리4동분회경로당,동대문구 답십리동 16-26번지 ,205221.7592,451646.7019
95,신답경남아파트경로당,동대문구 답십리동 645-8번지 ,203875.284,452496.8835
96,창방경로당,동대문구 전농동 445-3번지 ,,
97,섬마을경로당,동대문구 제기동 1211-20번지 ,203254.1144,454195.3688
98,이문3동현대아파트경로당,동대문구 이문동 54번지 ,206128.8681,455449.9033
99,답십리4동동아아파트경로당,동대문구 답십리동 10번지 ,205381.9861,451896.756
100,답십리4동동아아파트제2경로당,동대문구 답십리동 10번지 ,205381.9861,451896.756
101,청솔우성아파트경로당,동대문구 답십리동 80번지 ,205208.1675,452466.8685
102,청량리1동분회경로당,동대문구 청량리동 57-6번지 ,204108.0904,453773.3128
103,중산경로당,동대문구 답십리동 36-31번지 ,205020.5238,452008.8333
104,전농1동경로당,동대문구 전농동 471-8번지 ,,
105,동아아파트경로당,동대문구 전농동 645-3번지 ,204013.559,452514.5932
106,홍릉경로당,동대문구 청량리동 203-286번지 ,203709.917,453874.361
107,한신아파트제1경로당,동대문구 청량리동 59번지 ,204135.6943,453889.9235
108,답십리4동우성그린아파트경로당,동대문구 답십리동 산 2-106번지 ,,
109,서울가든아파트경로당,동대문구 휘경동 49-5번지 206호,206209.7855,453542.1096
110,답십리대림아파트경로당,동대문구 답십리동 808번지 ,205559.3877,452071.7719
111,현대코아경로당,동대문구 청량리동 738번지 ,203851.3754,453238.5942
112,중앙하이츠빌경로당,동대문구 이문동 84번지 ,205637.6769,454907.0492
113,중앙하이츠빌경로당,동대문구 이문동 84번지 ,205637.6769,454907.0492
114,장안2동경로당,동대문구 장안동 343번지 ,206328.5054,452131.7792
115,대우아파트경로당,동대문구 이문동 45번지 ,206093.1838,455584.8723
116,대우아파트제2경로당,동대문구 답십리동 111-1번지 ,204745.3122,452321.7561
117,청솔우성아파트제2경로당,동대문구 답십리동 80-1번지 ,205332.5875,452542.6525
118,이문동삼성래미안아파트경로당,동대문구 이문동 425번지 ,204913.9568,455337.8897
119,휘경2동주공2단지아파트경로당,동대문구 휘경동 57번지 ,206179.3846,453411.7429
120,답십리두산아파트제2경로당,동대문구 답십리동 990-1번지 ,205172.7637,451885.8949
121,장미경로당,동대문구 용두동 103-3번지 ,202903.5997,452447.0992
122,홍릉동부제2경로당,동대문구 청량리동 213번지 ,203911.3576,453678.8958
123,휘경2동주공1단지아파트경로당,동대문구 휘경동 57번지 ,206179.3846,453411.7429
124,답십리대우아파트경로당,동대문구 답십리동 111번지 ,204650.6138,452346.4851
125,휘경1동 동양아파트경로당,동대문구 휘경동 117번지 ,205838.2526,454446.6177
126,전농3동 Sk@제2경로당,동대문구 전농동 10-1번지 ,205478.114,452788.1283
127,전농3동 삼성아파트제2경로당,동대문구 전농동 155-1번지 ,204841.3663,453223.2259
128,이문3동현대아파트제2경로당,동대문구 이문동 54-1번지 ,206166.9238,455555.3253
129,장안1동안골경로당,동대문구 장안동 402번지 ,205609.4775,451453.6093
130,답십리5동경로당,동대문구 답십리동 320-75번지 ,,
131,이문3동쌍용아파트경로당,동대문구 이문동 64번지 ,205980.7722,455275.836
132,휘경롯데낙천대아파트경로당,동대문구 휘경동 109번지 ,205616.3355,454408.7474
133,래미안이문2차아파트경로당,동대문구 이문동 311번지 ,205239.6231,454580.0413
134,연수경로당,동대문구 답십리동 4-163번지 ,205455.0317,451831.465
135,기곡경로당,동대문구 전농동 150-1번지 ,204732.4169,453420.9032
136,대림아파트제2경로당,동대문구 이문동 225-1번지 ,205492.5326,455830.8213
