시도,계,과속+신호,과속,신호,주정차,방범
서울시,97,2,0,0,8,87
종   로,0,0,0,0,0,0
중   구,0,0,0,0,0,0
용   산,3,0,0,0,0,3
성   동,6,0,0,0,4,2
광   진,0,0,0,0,0,0
동대문,3,0,0,0,0,3
중   랑,0,0,0,0,0,0
성   북,1, ,0,0,0,1
강   북,0,0,0,0,0,0
도   봉,0,0,0,0,0,0
노   원,0,0,0,0,0,0
은   평,44,1,0,0,0,43
서대문,1,0,0,0,0,1
마   포,0, , , , , 
양   천,5,1,0,0,1,3
강   서,0, , , , , 
구   로,0,0,0,0,0,0
금   천,0,0,0,0,0,0
영등포,0,0,0,0,0,0
동   작,0, , , , , 
관   악,11,0,0,0,3,8
서   초,2,0,0,0,0,2
강   남,13,0,0,0,0,13
송   파,6,0,0,0,0,6
강   동,2,0,0,0,0,2
