,Unnamed: 0,주정차위반,방범,과속+신호 all
0,0,0,25,0.0
1,1,18,213,5.0
2,2,7,77,2.0
3,3,29,131,33.0
4,4,11,205,16.0
5,5,3,77,25.0
6,6,24,118,13.0
7,7,89,28,27.0
8,8,81,94,18.0
9,9,46,61,24.0
10,10,49,207,2.0
11,11,22,638,16.0
12,12,36,36,30.0
13,13,8,86,13.0
14,14,22,238,30.0
15,15,1,124,4.0
16,16,23,175,39.0
17,17,0,49,11.0
18,18,27,173,
19,19,4,113,23.0
20,20,64,165,29.0
21,21,34,86,21.0
22,22,54,185,
23,23,8,180,25.0
24,24,4,139,4.0
