지점,발생건수,사상자수,경도,위도
동대문구 제기동(롯데불로장생센터 부근),7,8,127.0367415,37.57854701
동대문구 용두동(경동시장_일반국도6호선_진출_1 부근),9,9,127.0373987,37.57821158
동대문구 용두동(경동시장 부근),12,14,127.0383295,37.57824298
동대문구 용두동(경동시장앞교차로 부근),9,12,127.0383513,37.5785268
동대문구 제기동(경동시장 부근),13,14,127.0378372,37.57853633
