,구,지점,발생건수,사상자수,경도,위도
0,동대문구,동대문구 제기동(왕산로29길 부근),11,11,127.0408369,37.57989011
1,동대문구,동대문구 제기동(성바오로병원앞 부근),15,16,127.0419829,37.579994
2,동대문구,동대문구 용두동(동서시장 부근),15,16,127.0409278,37.57906179
3,동대문구,동대문구 제기동(우리은행청량리중앙지 부근),12,12,127.0413651,37.57924611
4,동대문구,동대문구 제기동(성바오로병원앞교차로 부근),10,10,127.0423326,37.57957425
5,동대문구,동대문구 용두동(성바오로병원앞 부근),13,13,127.0424324,37.57921299
6,합계,합계,76,78,127.0416463,37.57949654
