,구,지점,발생건수,사상자수,경도,위도
0,동대문구,동대문구 청량리동(청량리역_홍릉길_진입_1 부근),8,8,127.0449967,37.58136815
1,동대문구,동대문구 청량리동(옥치과의원 부근),7,7,127.0457309,37.58123675
2,동대문구,동대문구 청량리동(청량리역_홍릉길_진입_1 부근),13,13,127.0454923,37.58089967
3,동대문구,동대문구 청량리동(청량리우체국 부근),13,15,127.0453332,37.58064593
4,동대문구,동대문구 전농동(청량리역사거리 부근),9,9,127.0458916,37.58079261
5,동대문구,동대문구 청량리동(옥치과의원 부근),8,8,127.0456734,37.58042964
6,합계,합계,58,60,127.0455197,37.58089546
