,Unnamed: 0,구,지점,발생건수,사상자수,경도,위도
1013,1013,동대문구,동대문구 장안동(장안동우리은행 부근),5,5,127.066812,37.56622395
1014,1014,동대문구,동대문구 답십리동(쌍마빌딩 부근),3,4,127.0553281,37.56612182
1015,1015,동대문구,동대문구 휘경동(백합빌딩 부근),3,3,127.0589411,37.58902059
1016,1016,동대문구,동대문구 용두동(마장동사거리 부근),3,3,127.0379784,37.5728784
1017,1017,동대문구,동대문구 청량리동(청량리정신병원입구 부근),3,3,127.0488771,37.58621543
1153,1153,동대문구,동대문구 제기동(성바오로병원앞교차로 부근),10,10,127.0423326,37.57957425
1154,1154,동대문구,동대문구 용두동(경동시장앞교차로 부근),9,12,127.0383513,37.5785268
1155,1155,동대문구,동대문구 회기동(경희대 부근),6,11,127.0531147,37.59354146
1156,1156,동대문구,동대문구 제기동(식당재료유통할인 부근),5,5,127.0404133,37.58301004
1157,1157,동대문구,동대문구 장안동(장안동삼거리 부근),4,4,127.0719725,37.57892963
1158,1158,동대문구,동대문구 용두동(서울시설공단 부근),3,3,127.03811,37.57268062
1159,1159,동대문구,동대문구 휘경동(위생병원앞교차로 부근),3,3,127.0638034,37.59051734
