,0
21,안녕하세요  당근마켓을 열열히 사용하고있는 유저입니다  많은 물건들을 살수도 있고  팔수도 있는  당근마켓 정말 좋습니다  설명도 잘 나와있고  사람들과도 만나서 직거래를 할수있으니 재미있요  그리고 직거래가 싫으신 분들은 택배 배송을 부탁하시면 됩니다  당근마켓 꼭 설치해서 이용해보세요 
22,비매너  번 경고 말고  개월 거래 정지제도를 만드시기를 바랍니다  새벽에 너무 화가나서 속이 부글부글 끊어요 직거래 하기로 시간  날짜까지 다 잡아놓고 저같은 경우 오후  시에 만나기로해서 해주세요 심부름 업체까지 잡아서 선불예약했더니 이새끼가 갑자기 새벽  시  분에 채팅을 보내 뭔 일이있다고 약속장소까지 파괴하고 뜬금 택배 착불로 보낸다고  당근마켓 욕 나와 진짜  나는 심부름센타 업체불러서 선불 결제했는데 이새끼가 당근마켓 품평 좋아서 믿고 거래 했다고요 거래 후기보고 거래 품평이 더 좋아서 화가나 당근마켓도 전체 리뷰
23,핸드폰 번호로 로그인하려고하는데 인증번호받는 부분에서 제 기기가 자동으로 써주는데 그 과정에서 비정상적으로 인증요청 이라고 뜨면서 로그인 안되는데 어쩌라는거죠 
24,멀쩡한 상품이였는데 직거래후 상품확인까지 다확인시켜드렸는데 집가자마자 하자있다고 전액환불해달라해서 못해준다했더니 당근에 신고하셔서 저만 당근에서 거래못하게 막고   판매전 사진에도 멀쩡했었고 그렇게 눈에 띄는 하자를 직거래까지했는데 못발견하고 갑자기 집가니 하자발견 ㅋㅋ 그사람이 더 의심스러운데 그사람은 당근거래할수있도록하고 무슨기준인건가요 
25,이건 중고로 거래하라고 만든 게 아니고 물건 올리면 서로 사겠다고 난리치는 거 구경하는 앱이네요  게다가 홈 화면에서는 거래완료된 물건도 노출되고  숨겨진 게시글  심지어 삭제된 게시글까지 싹 다 노출되는 최대의 결함이 있는데 고치지도 않고  서비스 때문에 접어야겠습니다  게다가 거래완료 안보기를 눌러도 거래완료는 왜 보이는 거죠  발로 개발하시는 건가요  그리고 서버 관리 좀 하세요  느려 터져서 못 쓰겠음  에니악으로 돌린다면 이해는 하겠지만 
26,좋은 어플이에요 어플 이용하면서 안쓰는 물건들 정리하기 시작했고 동네사람들이라 직거래도 쉬워서 필요없는 물건이면 쉽게 내놓게됬어요 덕분에 집도 많이 비웠고 정리정돈도 많이했어요 그냥 버리기엔 아깝고 처리하기 어려운 경우들이 많았거든요 필요하신 분에게 가니까 뿌듯하기도 하구요 정말 잘 이용하고있습니다 저희 집에 많은 변화를 준 어플이에요 감사합니다
27,정말 잘사용하고 있는 사람입니다  하지만 농수산물이나 핸드메이드 같은 제품들도 판매  구매가 가능 해졌으면 좋겠어요 
28,당근 개발자님들 너무 감사해용 프로당근러로서 참 애용하고 이쏘용  집안정리 및 인테리어에 많은 도우므이 됩니다 근데 요새 버그인지  자주 이용하는 문구가 싹다 지워지고 등록이 안되서 넘무 불편해요     어서 수정부탁드리브니다 
29,그때 그때마다 필요한 제품을 잘 구매하고 다 읽은 책들이나 나이에 안맞는 장난감 같은 애물단지 취급받는 것들을 버리지 않고 필요한 사람에게 저렴히 양도하여 서로가 유익한 아주 쏠쏠하고 요긴한 어플입니다  이를테면 한 때 잘 사용하고 이사하면서 아까워서 버리지도 못하고 짐이 되어 베란다 한켠에서 큰 자리를 차지하던 애물단지가 된 벽걸이 에어컨과 무거운 실외기를 별 기대없이 당근마켓에 올렸는데 불과 반나절만에 무려 스물 두분께서 관심과 구매의사를 보여주셔서 저로서는 생각지도 않았던 용돈을 두둑히 벌고 구매자님은 무더운 여름을 잘 보내 전체 리뷰
30,첫 물건 내놓고 다양한 기능을 확인하고 안전하게 거래할 수 있고 만족합니다  가격은 현실적인 가격으로 책정해야 구매의사 있는 분이 연락옵니다  내가 희망하는 가격이 아니라 구매자가 현실적으로 구매가능한 가격대가 거래가 되네요
31,지역인증하는건 좋은데 주로 사용하는 곳이 직장이다보니 채팅이나 찜하기가 안되요  퇴근해서 집에 가면 시간도 별로 없어요  인증을 두군데에서 할 수 있도록 하면 좋을텐데 
32,길게 써주셔서 너무 감사해요   근데 저는 이용을 할수 있지만  채팅또는 게시물을 올리지 못해서 그러는거에요 다시한번 죄송합니당 이거 풀어주시면 감사할깨요  
33,한달기준 전체 작성글 횟수 판매내역 구매내역 끌올횟수 나눔횟수  받은횟수 사용자가 보고 판단할수 있게 해주었슴 좋켔습니다  글을 삭제하고 다시 쓰는 사용자도 있으니  주일 작성글 개 바로바로 확인 할수 있게끔 안내를 해주었슴 해요 나눔횟수  받은 횟수도 사용자들이 보고 서로 판단할수 있게 해줬승 좋켔습니다 수고하셔요
34,매너 잘 지키며 앱을 사용하고 있었는데 신고 때문에 앱을 사용할 수 없다고 뜹니다 거짓신고 하나 때문에 앱을  년 동안 못한다고 생각하니  너무 억울해서 글을 올립니다
35, 최신업데이트를안하면 검색안되게 바꼈나요  검색눌러도 안나오네요  오늘업데이트하니까 되구요   키워드 눌러서 검색후 뒤로가기 후 저장된  키워드 눌러서 검색하려면 검색이안되고 흰화면만 나옵니다 또 뒤리가기해서 메인화면에서 검색해야합니다 
36,매우 유용한데  지금처럼 채팅 장애등이 종종 발생해서 답답해집니다  빠른 장애 해결이 되면 좋겠습니다 
37,판매물품에 대한 글을 작성하고 나서 페이지를 보면 임의로 몇 글자에 링크가 생성되는 경우가 있습니다  링크를 누르면    가 열리면서 제 현재 위치를 보여주더군요  이 문제의 원인을 알려주시고 해결방법을 알려주세요
38,안녕하세요 이거 사용했던 유저입니다 근데 제가 탈퇴를하고 지웠거든요 근데 인증번호를 주는 버튼을 눌렀지만 인증번호는 오지않고 그전 인증번호도 잊어버린 상황입니다  그래서 조금 아쉽습니다 
39,헉 정말잘쓰고있다가 어제 업데이트한이후로 키워드알림설정해서 뜨는거 들어가면 원랜 알림목록이 나왔는데 안들어가져요  저만그런건가요 ㅅ 
40,혹시 동네범위 더 넓힐 수 없나요  광역시같으면 솔직히 전지역 거의 버스나 지하철타고 갈 수 있는데 동까지 나눠서 직거래가능한 거리인데도 못하는게 답답해요
41,잘 쓰다가 중복 게시물 되니 엄청 짜증나네요  정확한 이유도 모르고 중고폰 올렸다가 숨김처리 된것 같은데 정작 본인은 모르고 있으니 바보된 느낌입니다  와이프도 물건  개 팔려고 올렸는데 반나절만에 숨김처리 되네요  나름 소소하게 팔면서 온도도 높았는데 이유도 없이 업자 취급하니 정이 뚝 떨어지네요  판매 이력만 한번 봐도 알겠구만 그냥 막처리하고 이의제기 하는 기능도 없고 안타깝네요  한편으로 이해는 가면서도 이유도 없이 또 몰래 당하니 몹시 억울하군요 ㅎㅎ
42,당근마켓 나오고 초반에 사용한 사용자입니다  너무 좋습니다  동네다보니 직거래가 가능하니 좋고요  앞으로도 잘사용하겠습니다  감사합니다 
43,심각한 버그있음  년동안 잘사용하였음 올  월부터 검색어노출이 안됨 휴대폰  대 각각 당근 아이디 다 다르나 아무리 저렴하게 올려도 좋아요나 챗팅자체가 안옴  개 당근 폰 가족아이디 다  월부터 그랬음  너무 이상해서 가족폰으로 제가 올린상품 검색하니 전혀 뜨지가 않음 제가 판매중인상품  개를 올렸는데 가족폰으로 제꺼 과거상품 판매완료된거 검색해서 제아이디 클릭해서 현재 판매중인 상품 보니 과거에 판매완료된건마 본이고 제가 판매중으로 올린것은 보이지가 않음 너무 이상햇던게 그동안 꾸준하게 챗팅이 많이오고 좋아요가 엄청 많았는데 신기 전체 리뷰
44,말 그대로 별 하나 주기도 아까움  다른 사람이랑 채팅하다가 못살것 같다고 죄송하다고 했는데 그 사람이 비매너평가 해버려서 이용정지됨  이 앱 절대 깔지 마시길 절대 사기꾼 겁나 많고 평생 후회하게됨 
45,아예 다른 사람에게는 미노출되는 현상이 있습니다  알림으로 아무것도 공지받지 못했습니다   번 삭제 재등록을 했으나  번 모두 같은 증상입니다  다른 사람의 계정으로 확인하면 제 물건은 꼭 빠져있더군요  사진을 바꾸거나 내용을 바꿔도 동일합니다 
46,안녕하세요  당근을 아주 잘 이용하고 있는 사용자입니다  한가지 문의드릴게 있는데 채팅내용 중 주소  핸드폰번호같은 개인정보를 삭제할 수 있는 기능은 없을까요  가끔 거래를 하다가 주소  핸드폰번호를 전달 한 후에 그대로 연락두절이 되는 경우가 종종 있는데 채팅창에는 개인정보가 계속 남아있으니 찜찜하네요 
47,다 좋은데 거리가 좁아요 솔직히 지산동에서 평택까지 갈수있단말이에요 근데 평택시는 못가는데 화성시 청북읍은 돼요 솔까 평택보다 청북읍이 더 멀거든요 이게왜 평택시는 못가죠  범위를 조금만 더 넒여주실수없을까요  다른사람들도 같은마음일거에요 조금  동내  동내도 괜찮으니깐 범위름 조금만더 넒여주세요 당근마켓이 가까운 주민들과 거래할수있게한건아는데 그래도 조금만 조금만 넒여주세요 부탁드릴게요
48,정말 잘 사용하고있습니다  목표한 가격을 노리고 존버하면 성공하네요 ㅎㅎ 건의사항이 있습니다  키워드알림을 등록해두면 그 단어가 포함된 모든물건이 알림이 오더라구요  그래서 알림 제외 키워드도 있으면 좋겠습니다  예를들면 벤치프레스를 원해서  벤치 를 키워드로 등록했다면   빈치스  를 또 등록해서 빈치스벤치 손가방은 알림이 오지 않도록 하는거죠  이런거는 따로 이메일로 드려야하나요 
49,진짜  당근 마켓을 왜 이제 깔았나 싶을 정도로 너무 편리하고 볼 것도 많네요  사흘 전 처음으로 직거래를 했었는데 채팅에 좋은 기능들이 많아서 놀랐어요  이제는  일  당근 해요ㅎㅎ 정말 별점  점도 모자른 앱이에요 
50,검색한 후 검색필터 매번 최신순으로 바꾸기 불편합니다 기본값이 정확도순으로 되어 있는데 설정으로 최신순이나 정확도순을 선택해서 유지할 수 있도록 업데이트해주세요 
51,중고거래의장점있음 최근 가입자 늘고 진상도 늘은 듯 고객센터 직원도 늘은듯 상담글 남기면 답변이 하루이상 걸리던 게  분 이내 혹은 즉시 응답으로 바뀜  최근 사기거래 신고 하니 사기꾼은 계정 놔두고 피해자를 비매너로 정지시킴  다행히 잡아 해결 될때까지 불법거래신고 지속적으로 했으나 해결시점까지 묵인  나만 비매너신고로  일간 정지시켜 오히려 가해자로 몰리게 하고 고객센터에 글 남겨도 지금껏 구경만하고 비매너 신고에 개입하지 않는단 말만 반복하고 사기신고 피해접수에대한 언급은 안 함  사기신고 피해에대해 문의 해도 비매너 접수됐 전체 리뷰
52,동네 인증을 하려하는데 동네 인증을 할 수 없는 환경이라고 뜹니다 위치 권한같은거 다 해봤는데 안되네요 게다가 하루 문자인증한도는  번 
53,재가입이안되요 일주일지났는데 언제재가입가능한지요 게시글미노출로 월 일저녁 시탈퇴했어요 재가입하면 노출가능한지요 전문판매하는사람도아닌데 신고로인한 미노출은 불합리합니다
54,사기나 택배를 보냈는데 돈이 안들어오는 경우가 있다지만 거의 대부분 다 착하시고 친절하셔서 너무 좋아요 그리고 쓰지않는 물건을 버리지않고 재사용 한다는 취지가 너무 좋고 단점이라면 물건을 엄청 헐값에 올려야 팔린다는점이 쪼꼼 아쉬워요 그래도 편리하고 정말 좋은 앱입니다 학생들이 용돈 벌기로도 좋을것같아요 
55,뭐죠  저만 그렇나요  가격을 엄청 낮춰서 팔지 않는 이상 조회수도 안오르고 엄청 안팔려요  끌올도 안되고 
56,예전에 사용하다가 지우고 다시 사용할려고 하는데 전화번호는 바뀌었고 제가 사용하는 이메일은 등록 되어있지 않다고 합니다  다시 사용할 방법은 없나요 
57,답변 감사합니다  그런데 사용 불편을 겪은 사람은 저희 어머니입니다  또한  인증문자가 스팸으로 들어가지 않았는지 찾아봤는데 스팸 등록이 되어 있지 않았습니다  그리고 앱스토어에서 별점과 리뷰 남기기 한참 전에 답변으로 알려주신 루트로 닉네임과 관련 사항에 대해 문의했는데 이에 대한 답변은 지금까지도 없습니다  본인이 문의 남긴 글도 볼 수 없고  답변이 어떻게 오는지도 모르겠어서 엄청 답답해 하세요  비대면 거래 해서 현관 앞에 당근물품을 내놨는데 자꾸 가져갔는지 문 열어보십니다  인증제도 관련 개선 부탁드립니다 
58,내게는 불용품이지만 누군가에게는 필요품 동네 이웃들과 나눔하는 이 앱을 왜 이제야 입문했을까 싶어요 편리하게 사용하도록 잘 되어 있어서 최고점수 드리고싶어요 
59,현재업데이트이후 앱실행중에 페이지를찾을수없음오류가납니다  어제까지잘사용하다 업데이트후 오늘부터 갑자기이러네요 조치부탁드립니다 
60,활동알람도 한번에 삭제가능하게해야지 너무 한개씩지우기 짜증남 너무 상업적이고 갠정보를 요구하는 페이서비스 하는거같아 역겨움 갠정보 보호하구 거래시에 요구하지마라
61,나눔받아봤는데 좋으신분들이 좋은제품 나눔 많이 하시네요  업자분들은 피하시며 개인사용자들에게만 무료나눔하시고 나눔아니라도 싸고 좋은제품을 많이들 올리시네요  아주 좋은 어플입니다 
62,중고거래하기에 굉장히 편리한 어플이라고 생각합니다  그런데 동네인증으로 거래범위가 한정지어져서 불편합니다  다른 동네의 상품을 원하는데 채팅조차 불가합니다  다른 지역 판매자 분들과도 거래하고 싶습니다 
63,사용한지  년도 안됐는데 물건을 팔면서 사기치지도 않았고 상품에 하자도 없었는데 오랜만에 들어와보니 계정 제한이 되어있네요  실망스럽습니다 
64,당근 잘쓰고 있었는데 갑자기 물건 사진 이미지가 안나옵니다 물건 이름은 보이구요 어플을 지우고 새로 다운받아도 이웃분들 파시는 목록에 사진이 안떠요 왜이러는걸까요 
65,굉장히 잘 사용중인데 자판 치는게 이상해요 글자를 쓸때마다 ㅇ  이렇게 자음 모음이 분리  돼서 써져요 가끔 지멋대로요 이거 왜 이러나요  어플은 좋은데 기본적인 부분들을 더 보완해야하지않나 싶습니다
66,별  개가 없는게 아쉽네여 게시글 미노출 알고리즘이 완전 안좋습니다 확인도 안하고 판매자에게 알려주지도 않고 그냥 악의적으로 보는사람이 신고만 하면 미노출로 바뀌어 버립니다 판매자는 모르고 계속 올리고요 최소한 판매자가 미노출을 인지는 해야 하는데 무슨 생각으로 만든건지 모르겠네요
67,직거래 할때 채팅이 된다는게 너무 좋아요 제가 예전에 다른 앱을 사용해 본적이 있는데 그때는 채팅기능도 없어서 너무너무 싫고 아쉬웠는뎈ㅋㅋㅋㅋㅋ이거는 좋네여
68,업데이트하고 나서 너무 불편한데요  키워드 검색이 너무 불편하고 갯수도 줄어들어서 여러가지 조회하기도 힘드네요  이걸 설마 테스트도 안하고 올리신건가요  너무 별로네요 
69,매우재밌는뎅 잠깐 탈퇴했다가들어오니 못들어가구 메세지도 안들어오고 메세지도 지워버려서 들어갈수가없네요  나머지는 매우 굿굿 
70,갑자기 오후부터 네트워크가 먹통됐어요 로그아웃  업데이트  다시 지웠다가 새로설치도 해보았지만 똑같습니다 시스템 문제인지 답변바랍니다
71,당근 채팅창에서 증빙용 영수증 같은 거 가끔 주고받을 때가 있는데요  이미지 파일은 저장할 수 있는 기능이 없나요  화면 캡처하면 원본 이미지가 아니라 선명하지 않거든요 
72,잘 이용하고 있어요  필요없는 물건도 판매하고 여러가지 득템도 했네요  최근에 검색 누르면 이전 검색했던 목록이 나왔는데 없어졌는지 안보여서 이점 불편해요 
73,어플자체는 괜찮은데 사람들때문에 정떨어져요 온갖진상은 차단하면 끝나지만 거래하기로 약속해놓고 무통보 거래파기하는분들은 약속시간전까지 모르고있다가 당할때가 너무 많아요 그런 기준과 제재하는 강도를 강화하고 탈퇴하고 다시가입해도 그런기록이 남아있었으면 좋겠어요 그리고 거래자필터 있었으면 좋겠습니다 지정성별과 몇살이상만 채팅할 수 있게 게시글을 올릴수있으면 좋을것같아요 여성용품인데 남자가사려고하는 변태같은사람을 불쾌하기전에 미리 거르고싶네요
74,멋대로 구매를 약속했다가 당일에 갑자기 단순변심이나 이런걸로 취소하는 경우에 신고를 하면 경고 등을 통해서 관리자분이 제재를 해주시면 좋겠네요
75,첨 당근을 이용해보는데 충동구매가 막 일어납니다  버려지는 제품 없이 요긴하게 활용되고 환경도 생각할 수 있는 최애 플랫폼이 되었습니다 
76,다 좋은데 우리 동네에만 필요한 물건이 꼭 있는건 아니니까 택배거래도 괜찮은지 직거래만되는지 같은 거로 타지역과도 거래하고싶어요 
77,당근마켓 처음 사용해보는데 정말 신기한 경험이네요  저한테 필요없는 물건이 다른 분께 필요한 물건으로 사용된다니 참 뿌듯합니다  
78,다 좋은데 시골사람한테는 너무 가혹해요  최소 인근 광역시까지 연결 해줬으면 하는 바람이네요  다 직거래로 갈만한 거리인데 
79,잘사용하고있는 어플인데 사용상 주의사항을 잘못이용하여 사용이 어려워졌네요 다시 사용할수 있게해주시면 주의사항숙지하여 조심하도록하겠습니다  
80,당근마켓 한  년정도 하고있는 사람인데요 한  달동안 당근마켓을 사용을 안하다가 다시 들어가보니까 비매너 이런건 하나도 없는데 매너온도가  도정도 내려가있더라고요  왜 내려갔는지 이유가 궁금합니다
81,동네 인증만 몇십 번을 했습니다  진짜 한 번도 안 되더라고요  기기도 껐다가 켜보고  앱도 지웠다가 깔아보았습니다  위치 권한은 당연하게도 허용하였고요  빠른 해결 부탁드립니다  예전에 당근마켓을 자주 이용하였던 사람으러써 당근은 정말 최고인 것 같아요  저와 같은 현상을 겪고 계신 분이 많은 것 같은데  다시 말하지만 빠른 해결 부탁드립니다 
82,비지니스 프로필 채팅 에러가 너무 많아요  개선 되면 좋을 것 같습니다  피시로 관리 할 수 있는 사이트도 있으면 좋을 것 같아용
83,진짜 좋습니다  사람들은 전부 착하구요 직접 힘들게 찾아와서 거래해줘서 넘 좋습니다  당근마켓 너무 좋아요 
84,검색할때 바로지난 검색어가 나왔어는데 이제는 지난검색어는 안나와서 계속 다시써야 돼서 불편합니다  다른앱처럼 당근앱에서도 전에는 나왔거든요 본인이 적었던 검색어 보일수 있게 했으면 좋겠어요 
85,정말  점도 아깝네요 하지도 않은일로 정지를 먹이고 문제가 생겨 고객센터 문의하면 자기들 원할때 답변하고 불리한건 답변오는데  일이상씩 걸리네요 고객관리 개판입니다 최악이에요
86,정말 유용하고 편리하게 잘쓰고 있습니다  다크모드 추가해주신다면 더할나위 없을것 같습니다  어두운데서 너무 눈아파요 
87,제가 잘 쓰지 않았던 제품들 그리고 새 제품인데도 다른 더 좋은 물건이 있어서 파는 제품 미니몰 라이프를 위해서 비유고 또 꼭 필요한걸 사고 할수 있어서 정말 좋았어요
88,판매관련 메신했던 내용이 다 남겨져 지우기가 힘듭니다  전체삭제나 선택지우기 기능원합니다  관리자님  카톡처럼 메신 선택해서 지울수있는 기능과 사기관련해서 대화내용저장할수있는 기능 추가해주세요 
89,키워드 알림을 많이 해두면 헷갈립니다  각 키워드별로 모아서 보는 기능 혹은 키워드별 폴더 기능이 있으면 좋겠어요 
90,솔직히 나이제한을 좀 두셨으면 좋겠어요  초등학생들도 가끔 보이는데 애들은 대부분 직거래만 할 줄 알잖아요 그래서 좀 위험할 것 같아요 
91,좋은 물건을 싸게 살수 있어서 매번 만족합니다  특히나 요즘엔 사기가 거의 없는 것 같아 더더욱 만족합니다 시민 수준이 높아진 것 같네요 
92,검색했던 목록 리스트가 확 줄었네요  개정도는 넘 부족하고 이웃들이 뭘 검색했는지는 관심 없으니 필요한 사람만 노출하게 하고 검색리스트 다시 돌려놔 주세요 물론  문의하기에 남겨놨으니 복붙 답변 노노 입니다
93,당근마켓을  년동안 이용하고 온도가  도 인데  지난주부터 제 판매글이 다른사람한테 노출이 안됩니다  고객센터에도 글을 올렸는데 방법이없다고만 합니다  고객센터 전화번호도 없고 답답하네요 해결방법알려주세요 
94,아무리 당근이라지만  멀리 살고계시는 분들 판매물품은 볼수가없어 엄청 매우 아쉽네요  주변사람들꺼밖에 못봄   
