,0
0,당근마켓 너무 좋습니다   필요 없는 물건들이 집에서 자리를 너무 많이 차지할 때가 많습니다   그 물건이 누군가에게 필요한 물건일 수도 있으니 그냥 버리지 말고 당근 올리면   용돈이 됩니다   그리고 멀리 가야 살 수 있는 물건을 가까운 곳에서 또 저렴하게 구할 수 있어서 너무 좋습니다  
1,독보적인  참신한 판매 플랫폼  여유를 가지고 기다리면 확실히 돌아오는 고객 문의 응답  다만   아쉬운  고쳐나갈 점이 다소 있는  성장형  어플 감사하게도 문의사항에 대해 응답을 듣고  여기에 남긴 리뷰도 대답을 들었습니다 다만 아쉬운 점이 땜빵 처리라는 느낌입니다 한차례 건의 드린 내용 비매너 구매자를 비매너 평가 하려고 하였으나 그 사람이 너무 멀리 산다고 비매너평가가 불가능 하였습니다  그런 논리라면 그 사람이 제가 너무 멀리 산다고 제 글을 보고 채팅을 보낸다던가 하는게 불가능 했어야죠 너무 멀리 사는 사람이라 하더라도 전체 리뷰
2,게시글에서 사진 보고 창을 닫으면 본 위치가 초기화됩니다  업데이트되고 그런거 같은데 수정해주세요  카데고리 디지털기기에서 한시간전 게시물 사진보고 닫으면 위치가 최신글로 변경됨  수정해주세요  안드로이드     입니다 
3,나눔 해주시는 분도 있고 대부분 친절하셔서 좋아요  가끔 채팅을 안 보시는 분도 있고 답장이 많이 느리신 분도 있지만 그래도 물건을 더 저렴하게 살수 있고 동네 사람들과 친해질 수도 있어서 정말 괜찮은 앱이에요  저도 물건을 팔면서 유용하게 사용하고 있습니다  아직 하나도 못 팔았지만 ㅋㅎ
4,당근마켓 너무잘쓰고있어요  안쓰는물건 필요한사람에게 저렴하게 팔수도 있고 제가살수도 있는 좋은앱이에요  그런데 가격제안이 오면 다시 상대방에게 카운터 제안을 할수있는 기능이 있으면 어떨가싶어요  너무 저렴하게 제안이 오면 적당한가격을 다시 제시하고싶은데 채팅을하거나 제안을할수가 없어서요  아니면 라이크를 누른 사람들에게만 제가 더 저렴하게 가격제안을 할 수도있으면 좋을거같아요 
5,굉장히 잘 사용하고 있습니다 추가로 건의드리고 싶은 것은 제가 예전에 대화를 나눈 상대가 다른 물건으로 다시 채팅을 시작하면 이전 채팅창과 별개의 채팅창이 새로 생기더라구요 그 전에 상대방과 어떻게 대화하고 거래했었는지가 궁금한데 조금 불편하다고 느꼈어요 물론 이전 대화가 따로 존재한다는 메세지는 뜨지만요  저만 불편하게 느끼는 것일수도 있지만 호옥시나해서 글 남겨봅니다 
6,당근마켓을 사용한지  개월이지났는데요  진짜 이거는 와 진짜 필요하는 앱이다라고 생각이 들도록 정말 좋은 앱입니다  자신이 필요한 물건을 거래를해서 살수도 있고 자신한테는 물건을 사서 좋고 물건을판 상대방은 돈을 얻어서 좋고 완전  강추인 그런 앱이네요  강추드립니다 
7,업데이트하고서 최근검색목록이 보기 불편해졌고 최근검색어 누르다가 지움표시 눌러짐   개밖에 안나오네요  주기적으로 검색하는 검색어가 있는데  최근검색어들 모두 나오게 해주세요 
8,두가지 정도 제안하고 싶어서 리뷰남기네요  사용 정말 잘하고 있어요  첫번째 신고하면 정지되고  일후에 정지가 풀리던데 이런방식은 별로라고 생각해요 대신 정지후에 당사자간 대화나 사과를 통해서 신고자의 동의를 얻어 정지를 풀 수 있게 하면 좋을듯해요  또 두번째 내가 남긴 후기랑 내가 받은 후기를 언제나 한번에 볼 수 있게 되면 좋겠어요 
9,동네에서 가까운곳에있는분이랑 거래할수있어서 좋습니다 지역설정 거래카테고리   후기기능 채팅창이용 뱃지기능까지 다양한 기능들에서 만족감이 상당히 괜찮네요 개인적으로 중고나라보다 이용하기가 편해서 저는 당근을 요즘 더 선호합니다 오늘 친절하고 성격좋으신분과 가까운동네에서 거래를 잘하게되서 행복하네요  좋은어플 만들어주셔서 감사합니다 
10,코로나 땜에 힘든 가정경제에 당근이 찐힘이된다고 느낀다 꼭 필요한 생필품을깨끗하게 저렴하게 만나서 행복하다   아쉬움이 있다면 동네인증거래만 된다는 점이다  
11,아직도 프로그램 수정이 안되었나요  개발자님  아직도  왜 버그가 났는지 모르시는지요  최신 버젼이 에러가 많이 납니다  원래 채팅방에서 자주 쓰는 문구 사용이 안되나요  전에 등록해 놓은게 모두 사라지고  다시 등록이 안됩니다  확인 부탁드립니다 
12,매너온도에 대해 문의를 드렸는데도 불구하고 개선되는 점이 하나도 없네요  매너 온도가 올라가지 않아 문의를 드렸는데도 똑같은 답변과 내용을 찾아 읽으라는 말밖에 없네요 하하 게다가 최근에 비매너 수가 늘지도 않고 제가 가진 비매너 수가 두개밖에 없었는데 왜 문의를 드렸는데 매너온도가 더 떨어지나요  이유를 알고 싶고 또 문의를 드려도 똑같은 답변만 오고 해결되는게 없어서 너무너무 답답해요
13,최근 검색어 문제로 오늘 문의를 드렸고  안내를 해주셔서 말씀해주신 대로 앱을 삭제하고 다시 깔았고  로그인을 했습니다  헌데 제 아이디나 어떤 다른 방법으로 로그인을 할 수가 없네요  일단 전화번호로 로그인을 했는데 로그아웃 버튼을 눌러도 로그아웃은 되지 않고 계속 대기상태가 됩니다  문제가 뭐죠  지금 계속 시도를 해보느라 설치 삭제를 반복하다보니 로그인을 몇번 했는데 다시 해보니  번 이상은 불가라고 뜨네요  아  오늘 거래 약속이 있었는데 어떻게 하죠  답변 부탁드리겠습니다 
14,아  그리고 동네별로 검색할 수 있는 기능도 만들어주시면 안될까요  현재 도서티켓음반 여성잡화 남성잡화  이런식으로 물품의 카테고리별로 모아볼수있는 기능은 있던데  예를들면 서초동 논현동 압구정동 이런식으로 동네별로 모아볼수있는 기능도 있었으면 좋겠어요 
15,앱 시스템 자체가 효율적이고 편리해서 좋아요  좋은 기능도 최근에 추가됐고  뱃지주는것도 보람있고 재밌어요  필요한거 중고로 싸게살때  아이쇼핑  짐정리할때 잘 쓰는것 같아요
16,잘 쓰고 있습니다만 왜 회사의 성장을 동네로 한정하시나요  타 지역 물건도 살 수 있게 하고  주로 대형상품  연계해서 배송업체도 연동하시고 당근페이도 만드시고 자꾸 새롭게 변화되게 만드셨으면 합니다 개인적으로는 네이버 중고나라에서 불편한게 느껴지는거 다 수정해서 당근마겟이 중고상품 판매 최대 플랫폼이 되셨으면 합니다 아참 일본도 진출하시고요
17,잘 사용하다가 언제부터인가  거래를 위해서 대화하면 채팅창 하단이 고정되어 있어서 휴대폰 키보드가 올라오면 제가 치고 있는 글자가 안보입니다 오타가 났는지 아닌지 엄청 신경써서 하나하나 눌러야 되는게 불편하네요 기종은  입니다
18,정말 잘 쓰고 있는 일인입니다  그런데 몇 달 전부터 알림음이 안울려서 너무 불편해요  검색을 해봐도 폰 좀 만진다는 사람한테 부탁을 해도 원인을 알 수가 없네요  조금만 검색하면 나오는 해결책은 다 써봤습니다  며칠전 이틀은 오전에 갑자기 또 울리다가 오후에는 갑자기 안 울려서 거래가 중단된 적도 있어요  물론 지금은 또 항상 음이 안울리구요 
19,와이파이가 문제였어요  고객센터 에서 답변주신거로 추측해본 결과 인터넷 속도가 느리면 이미지가 뜨지않는다   와이파이 속도가   바께 나지않아 확인해보니 랜선 문제였어요 랜선 새것으로 바꾸고 정상속도 회복  당근마켓으로 빠른 인터넷 서핑 중입니다  전 타사어플도 왤케 느리냐고 그러고있었어요 감사합니다 
20,이런저런점 다좋은거같습니다 근데 한가지원하는게 있습니다 키워드알림해서 자기가 원하는 키워드로 물건이올라오면 알람을뜰수잇어좋은데 반대로 자기갸 원치않거나 싫어하는 이름이 키워드랑합쳐져서 오르는게싫습니다 고로 알람이안오거나 글자체를 볼수없게 키워드를 만들어주시며누더욱 편리할거같습니다 예를 들어 나는 포켓몬피규어 디즈니피규어를 사고싶어 피규어도 키워드알림을 해놧는데 디지몬피규어가 올라오면 피규어 때문에 알람이울립니다 이런문제를 해결하기위해 피규어 란 단어를 키워드등록할수잇지만 디지몬 방해설정을통해 디지몬이들어간 게시물이 올라오면 알람이  전체 리뷰
